,dates,prices,sentiment
0,2014-09-17,457.334015,0.0118876341844253
1,2014-09-18,424.440002,0.0105007360032485
2,2014-09-19,394.79599,0.0040123431364982
3,2014-09-20,408.903992,0.0113049643744992
4,2014-09-21,398.821014,0.0035702673932914
5,2014-09-22,402.152008,0.0169357811149846
6,2014-09-23,435.790985,0.010751868032974
7,2014-09-24,423.204987,0.0204477217745102
8,2014-09-25,411.574005,0.0255161498236475
9,2014-09-26,404.424988,0.0229148602146356
10,2014-09-27,399.519989,0.0216466159724586
11,2014-09-28,377.181,0.0274557250132907
12,2014-09-29,375.46701,0.0196184229468077
13,2014-09-30,386.944,0.0193935520615174
14,2014-10-01,383.61499,0.0204550159636892
15,2014-10-02,375.071991,0.0204885580612324
16,2014-10-03,359.511993,0.0158201368468124
17,2014-10-04,328.865997,0.0098163004515913
18,2014-10-05,320.51001,0.0214874331013571
19,2014-10-06,330.07901,0.0237217446673034
20,2014-10-07,336.187012,0.0254586397159846
21,2014-10-08,352.940002,0.0236981380391854
22,2014-10-09,365.026001,0.0229791697713564
23,2014-10-10,361.562012,0.0315893152431613
24,2014-10-11,362.299011,0.0262503658227856
25,2014-10-12,378.549011,0.0297751376447752
26,2014-10-13,390.414001,0.0455785964277273
27,2014-10-14,400.869995,0.0216799136161985
28,2014-10-15,394.77301,0.0277610272197052
29,2014-10-16,382.556,0.0304623643119018
30,2014-10-17,383.757996,0.0183279708485784
31,2014-10-18,391.441986,0.0222766257132452
32,2014-10-19,389.54599,0.0209544889190411
33,2014-10-20,382.845001,0.0209179323976191
34,2014-10-21,386.475006,0.0176113917934029
35,2014-10-22,383.15799,0.0210725160391456
36,2014-10-23,358.416992,0.0203169798262729
37,2014-10-24,358.345001,0.0235476672239977
38,2014-10-25,347.270996,0.020542723571031
39,2014-10-26,354.70401,0.026204992576095
40,2014-10-27,352.989014,0.0154060761505575
41,2014-10-28,357.618011,0.0228279838908149
42,2014-10-29,335.591003,0.0217354223897192
43,2014-10-30,345.304993,0.0235637043877874
44,2014-10-31,338.321014,0.0175351181869578
45,2014-11-01,325.748993,0.0213505373114403
46,2014-11-02,325.891998,0.0212774016763378
47,2014-11-03,327.553986,0.0298827762317334
48,2014-11-04,330.492004,0.0277110617897727
49,2014-11-05,339.485992,0.0256286598446196
50,2014-11-06,349.290009,0.0260193217329545
51,2014-11-07,342.415009,0.0214975465835886
52,2014-11-08,345.488007,0.0224122392791674
53,2014-11-09,363.264008,0.0182656259722481
54,2014-11-10,366.924011,0.0307629009731751
55,2014-11-11,367.695007,0.0784052514560146
56,2014-11-12,423.561005,0.0656196309107828
57,2014-11-13,420.734985,0.0498438023005982
58,2014-11-14,397.817993,0.0647507763556734
59,2014-11-15,376.132996,0.0535889151904064
60,2014-11-16,387.881989,0.0476279610146797
61,2014-11-17,387.40799,0.0341860845620014
62,2014-11-18,375.197998,0.0826338857845603
63,2014-11-19,380.554993,0.0455636760293742
64,2014-11-20,357.839996,0.0492324392290381
65,2014-11-21,350.847992,0.0456504127750884
66,2014-11-22,352.920013,0.0414913686088238
67,2014-11-23,367.572998,0.0276832979033804
68,2014-11-24,376.901001,0.036023456787819
69,2014-11-25,375.347992,0.0860523886798981
70,2014-11-26,368.369995,0.0477445040148844
71,2014-11-27,369.670013,0.0652275017192009
72,2014-11-28,376.446991,0.0467898565299007
73,2014-11-29,375.490997,0.0291128547260228
74,2014-11-30,378.046997,0.029374247917713
75,2014-12-01,379.244995,0.0490933156144508
76,2014-12-02,381.315002,0.0986955956510851
77,2014-12-03,375.01001,0.0610287774318872
78,2014-12-04,369.604004,0.0545708487796029
79,2014-12-05,376.854004,0.0456820042550657
80,2014-12-06,374.785004,0.0371013877088643
81,2014-12-07,375.095001,0.0633460398765796
82,2014-12-08,361.908997,0.036527171427283
83,2014-12-09,352.218994,0.052019733778818
84,2014-12-10,346.36499,0.0413079902280604
85,2014-12-11,350.506012,0.0471883185684311
86,2014-12-12,352.541992,0.0405657929441224
87,2014-12-13,347.376007,0.0433961565902363
88,2014-12-14,351.631989,0.0477543298759874
89,2014-12-15,345.345001,0.0685771134296415
90,2014-12-16,327.062012,0.0538479965131675
91,2014-12-17,319.776001,0.0320447750646245
92,2014-12-18,311.395996,0.0443215896603846
93,2014-12-19,317.842987,0.0387737902428252
94,2014-12-20,329.955994,0.0448617396512711
95,2014-12-21,320.842987,0.0378974928001249
96,2014-12-22,331.885986,0.0407042192950185
97,2014-12-23,334.571991,0.0466997067150012
98,2014-12-24,322.533997,0.039074372065645
99,2014-12-25,319.007996,0.0344412380382775
100,2014-12-26,327.924011,0.0515344614890822
101,2014-12-27,315.863007,0.080912440147691
102,2014-12-28,317.239014,0.0284090909090908
103,2014-12-29,312.670013,0.0256429392939293
104,2014-12-30,310.737,0.0311766398158803
105,2014-12-31,320.192993,0.0257170761136165
106,2015-01-01,314.248993,0.0279191269938901
107,2015-01-02,315.032013,0.0230681826872802
108,2015-01-03,281.082001,0.0307141045154743
109,2015-01-04,264.195007,0.0258884359085491
110,2015-01-05,274.473999,0.0324875444820967
111,2015-01-06,286.188995,0.0384124055383607
112,2015-01-07,294.337006,0.0565194435360802
113,2015-01-08,283.348999,0.0321809131780229
114,2015-01-09,290.40799,0.015188246097337
115,2015-01-10,274.79599,0.0194487093902981
116,2015-01-11,265.660004,0.0135892563508842
117,2015-01-12,267.79599,0.0053291446892129
118,2015-01-13,225.860992,0.0154401901177378
119,2015-01-14,178.102997,0.0117825338036449
120,2015-01-15,209.843994,0.0087583844726701
